# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.06.2020 02:00";"10.6";"749.9";"761.5";"";"91";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.2";"";"";"";"";"";"";
"01.06.2020 01:00";"10.8";"749.9";"761.6";"-0.2";"90";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"9.2";"No precipitation";"6";"";"";"";"";
"31.05.2020 23:00";"10.8";"750.1";"762.1";"";"81";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"7.7";"";"";"";"";"";"";
"31.05.2020 22:00";"11.8";"750.1";"761.8";"0.8";"80";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"8.5";"";"";"";"";"";"";
"31.05.2020 21:00";"12.5";"749.9";"761.6";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"7.9";"";"";"";"";"";"";
"31.05.2020 20:00";"13.6";"749.6";"761.3";"";"64";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"6.8";"";"";"";"";"";"";
"31.05.2020 19:00";"14.5";"749.3";"761.0";"0.5";"66";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"18.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"8.1";"No precipitation";"12";"";"";"";"";
"31.05.2020 18:00";"15.9";"749.0";"760.7";"";"57";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.4";"";"";"";"";"";"";
"31.05.2020 17:00";"16.5";"748.8";"760.3";"";"54";"Wind blowing from the north-northwest";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.2";"";"";"";"";"";"";
"31.05.2020 16:00";"17.9";"748.8";"763.0";"0.1";"54";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"8.5";"";"";"";"";"";"";
"31.05.2020 15:00";"17.1";"748.9";"760.5";"";"61";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"9.5";"";"";"";"";"";"";
"31.05.2020 14:00";"16.3";"748.9";"760.5";"";"59";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"8.1";"";"";"";"";"";"";
"31.05.2020 13:00";"17.4";"748.7";"760.3";"-0.5";"55";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"8.1";"No precipitation";"6";"";"";"";"";
"31.05.2020 12:00";"17.0";"749.0";"760.6";"";"62";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"9.5";"";"";"";"";"";"";
"31.05.2020 11:00";"17.5";"749.1";"760.6";"";"62";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.2";"";"";"";"";"";"";
"31.05.2020 10:00";"17.0";"749.2";"760.9";"-0.2";"66";"Wind blowing from the west";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.5";"";"";"";"";"";"";
"31.05.2020 09:00";"16.4";"749.3";"761.3";"";"68";"Wind blowing from the west";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"10.5";"";"";"";"";"";"";
"31.05.2020 08:00";"15.0";"749.1";"761.2";"";"73";"Wind blowing from the west-southwest";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.2";"";"";"";"";"";"";
"31.05.2020 07:00";"12.2";"749.4";"761.3";"0.1";"74";"Wind blowing from the west";"3";"";"";"40%.";" ";"";"";"9.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.7";"No precipitation";"12";"Surface of ground moist.";"6.0";"";"";
"31.05.2020 06:00";"10.8";"749.5";"761.5";"";"81";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.6";"";"";"";"";"";"";
"31.05.2020 05:00";"10.1";"749.4";"761.3";"";"82";"Wind blowing from the west-southwest";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"7.2";"";"";"";"";"";"";
"31.05.2020 04:00";"9.9";"749.3";"761.2";"-0.8";"86";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.6";"";"";"";"";"";"";
"31.05.2020 03:00";"9.9";"749.5";"761.5";"";"86";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.6";"";"";"";"";"";"";
"31.05.2020 02:00";"9.9";"749.8";"761.8";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.6";"";"";"";"";"";"";
"31.05.2020 01:00";"10.9";"750.1";"762.0";"-0.1";"87";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.8";"No precipitation";"6";"";"";"";"";
"31.05.2020 00:00";"11.3";"750.1";"762.1";"";"91";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.8";"";"";"";"";"";"";
"30.05.2020 23:00";"12.0";"750.3";"762.1";"";"91";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"10.6";"";"";"";"";"";"";
"30.05.2020 22:00";"12.5";"750.2";"762.1";"0.4";"90";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"10.9";"";"";"";"";"";"";
"30.05.2020 21:00";"13.2";"750.1";"762.0";"";"88";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.2";"";"";"";"";"";"";
"30.05.2020 20:00";"13.7";"750.0";"761.8";"";"85";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.2";"";"";"";"";"";"";
"30.05.2020 19:00";"13.9";"749.8";"761.6";"0.3";"82";"Wind blowing from the south-west";"1";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"18.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.9";"0.7";"12";"";"";"";"";
"30.05.2020 18:00";"15.2";"749.5";"761.2";"";"80";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"11.8";"";"";"";"";"";"";
"30.05.2020 17:00";"15.4";"749.8";"761.6";"";"83";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"6.0";"12.5";"";"";"";"";"";"";
"30.05.2020 16:00";"16.7";"749.5";"761.2";"-0.6";"66";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.2";"";"";"";"";"";"";
"30.05.2020 15:00";"17.3";"749.5";"761.2";"";"61";"Wind blowing from the north-west";"2";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"9.7";"";"";"";"";"";"";
"30.05.2020 14:00";"17.2";"749.8";"761.5";"";"65";"Wind blowing from the north-northwest";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.6";"";"";"";"";"";"";
"30.05.2020 13:00";"17.3";"750.1";"761.8";"-1.1";"68";"Wind blowing from the west";"2";"";"";"50%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"11.4";"0.6";"6";"";"";"";"";
"30.05.2020 12:00";"14.8";"750.7";"762.4";"";"88";"Wind blowing from the west";"2";"";"";"60%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"12.8";"";"";"";"";"";"";
"30.05.2020 11:00";"14.8";"751.0";"762.7";"";"90";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"6.0";"13.1";"";"";"";"";"";"";
"30.05.2020 10:00";"13.4";"751.2";"763.0";"0.2";"93";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"6.0";"12.3";"";"";"";"";"";"";
"30.05.2020 09:00";"14.1";"751.1";"762.9";"";"89";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"12.3";"";"";"";"";"";"";
"30.05.2020 08:00";"13.6";"751.0";"762.8";"";"92";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"12.3";"";"";"";"";"";"";
"30.05.2020 07:00";"12.4";"751.0";"762.8";"0.1";"94";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.1";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"11.5";"0.2";"12";"Surface of ground moist.";"11.0";"";"";
"30.05.2020 06:00";"12.4";"751.0";"762.8";"";"91";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"10.9";"";"";"";"";"";"";
"30.05.2020 05:00";"12.1";"750.9";"762.7";"";"92";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"10.9";"";"";"";"";"";"";
"30.05.2020 04:00";"12.1";"750.9";"762.7";"-0.6";"94";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.2";"";"";"";"";"";"";
"30.05.2020 03:00";"12.2";"750.8";"762.7";"";"95";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.4";"";"";"";"";"";"";
"30.05.2020 02:00";"12.3";"751.2";"763.1";"";"93";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.2";"";"";"";"";"";"";
"30.05.2020 01:00";"12.5";"751.5";"763.5";"-0.4";"91";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.1";"No precipitation";"6";"";"";"";"";
"30.05.2020 00:00";"12.6";"751.7";"763.6";"";"91";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.1";"";"";"";"";"";"";
"29.05.2020 23:00";"13.3";"751.9";"763.8";"";"88";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"11.4";"";"";"";"";"";"";
"29.05.2020 22:00";"13.6";"751.9";"763.6";"0.0";"84";"Wind blowing from the west-southwest";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.9";"";"";"";"";"";"";
"29.05.2020 21:00";"14.4";"752.3";"764.2";"";"78";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.6";"";"";"";"";"";"";
"29.05.2020 20:00";"15.2";"752.0";"763.8";"";"70";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"9.7";"";"";"";"";"";"";
"29.05.2020 19:00";"15.9";"751.9";"763.6";"0.5";"66";"Wind blowing from the north-west";"1";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"20.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"9.4";"Trace of precipitation";"12";"";"";"";"";
"29.05.2020 18:00";"16.9";"751.5";"763.2";"";"63";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"9.7";"";"";"";"";"";"";
"29.05.2020 17:00";"17.1";"751.3";"763.0";"";"60";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"9.2";"";"";"";"";"";"";
"29.05.2020 16:00";"18.1";"751.4";"763.0";"-0.3";"61";"Wind blowing from the north-northwest";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"10.3";"";"";"";"";"";"";
"29.05.2020 15:00";"16.9";"751.5";"763.2";"";"63";"Wind blowing from the north";"3";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"9.7";"";"";"";"";"";"";
"29.05.2020 14:00";"18.5";"751.5";"763.1";"";"61";"Wind blowing from the north-northwest";"3";"";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"15.0";"10.8";"";"";"";"";"";"";
"29.05.2020 13:00";"18.8";"751.7";"763.3";"-1.3";"57";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"15.0";"10.0";"No precipitation";"6";"";"";"";"";
"29.05.2020 12:00";"17.6";"752.5";"764.1";"";"65";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"10.8";"";"";"";"";"";"";
"29.05.2020 11:00";"18.2";"752.8";"764.5";"";"61";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"";"";"";"";"";"";
"29.05.2020 10:00";"17.8";"753.0";"764.7";"0.0";"61";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.2";"";"";"";"";"";"";
"29.05.2020 09:00";"16.8";"753.0";"764.7";"";"67";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.6";"";"";"";"";"";"";
"29.05.2020 08:00";"14.8";"753.1";"764.8";"";"76";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.6";"";"";"";"";"";"";
"29.05.2020 07:00";"13.7";"753.0";"764.8";"0.5";"81";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"11.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"Trace of precipitation";"12";"Surface of ground moist.";"9.0";"";"";
"29.05.2020 06:00";"11.8";"752.7";"764.6";"";"90";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"10.2";"";"";"";"";"";"";
