,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1764,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,1,-2,-2,-2,-3,-2,-3,-3
1765,2,2,1,-2,-3,-2,-2,1,2,-1,-2,-2,0,2,2,1,-1,-1,-1,1,2
1766,-3,-3,-3,-2,0,1,-3,-3,-3,-1,1,0,-2,-2,-2,-2,1,0,3,1,0
1767,0,-2,0,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2,2,2
1768,-1,-2,-1,-3,-2,-2,0,0,2,1,0,-1,-2,-2,-1,-1,-1,-2,-3,-2,-2
1769,-1,-2,-2,-2,0,2,2,1,-2,-2,-1,1,2,0,-1,-3,-1,-1,1,1,1
1770,-2,-2,-2,3,3,3,3,2,-3,-3,-3,-1,-2,-3,0,-3,-2,-2,1,1,1
1771,-1,-1,2,2,1,0,-3,-2,-2,0,1,0,-2,-2,-2,-2,1,2,2,0,-1
1772,-2,-2,-2,-2,1,0,3,1,0,-1,0,2,2,-2,-2,-3,-2,-2,-1,3,2
1773,-2,-1,1,2,2,2,-1,-1,-3,-2,-2,1,0,-2,-2,-2,0,1,2,2,0
1774,3,-3,-2,2,3,3,-3,-3,-3,-3,-3,-3,-2,0,1,-3,-3,-3,-1,0,1
1775,-3,-3,-1,2,2,2,2,2,2,3,3,0,-3,-3,-3,-1,0,1,2,2,0
1776,0,-1,-1,1,0,2,1,2,2,1,-2,-2,-1,0,2,3,1,1,-2,-3,-1
1777,0,2,2,-2,-2,-3,-2,-2,-1,3,2,2,0,-3,-2,-1,2,1,1,-1,-2
1778,-2,-1,0,2,2,1,-2,-1,0,2,2,2,2,-2,-2,1,2,3,-1,1,-1
1779,2,1,1,-2,-2,1,2,2,-1,1,-3,-2,0,1,3,-1,-2,-2,-2,-2,-1
1780,0,0,1,0,-2,-2,-2,-1,2,2,3,2,2,-1,-2,0,1,1,-1,-2,-3
1781,-3,-3,2,3,-3,-2,2,3,3,-3,-3,-3,-3,-3,-3,-2,0,1,-3,-3,-3
1782,1,-3,-2,-1,0,3,2,-2,-2,-2,-2,2,2,1,-2,-3,-2,-2,2,3,-1
1783,-3,-2,0,1,-1,-2,-3,-2,-2,0,1,-2,-1,-3,-1,-1,2,2,-1,-2,-2
1784,1,-2,-2,-1,2,3,2,2,2,0,2,3,3,3,-2,-2,-2,-2,-1,-2,-2
1785,-2,-3,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2,2,2,-1
1786,-2,-3,1,1,-1,-1,-3,-3,-2,0,2,3,2,2,-1,-2,-1,0,1,2,-2
1787,-1,1,2,2,2,2,-1,-3,-2,0,1,1,-2,-2,-2,-2,1,2,2,2,-1
1788,2,1,0,-1,-1,1,2,3,-1,-2,-2,-2,2,3,2,0,-2,-3,-2,-2,-2
1789,2,2,-3,-3,-2,1,3,2,2,-2,-2,-1,2,2,2,-1,-2,-3,-3,-2,2
1790,-2,-2,-3,-2,2,1,1,-2,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1
