,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
229,-2,-2,-1,1,1,2,0,-1,-1,-1,1
230,2,2,2,1,-2,-2,-1,2,2,1,-2
231,1,-2,-2,-2,1,0,2,1,1,-1,-2
232,2,2,-1,-2,0,1,1,-1,-2,-3,-2
233,2,2,1,0,-2,-2,-1,3,3,2,2
234,1,1,2,-1,-1,-2,-1,0,2,1,-1
235,2,3,3,0,-3,-3,-3,-1,0,1,2
236,0,-2,-2,2,-1,3,-1,-2,-2,-2,0
237,2,-1,-2,-2,-2,1,2,1,-1,-2,-2
238,-2,2,2,2,2,2,1,0,-1,2,2
239,3,-3,-3,-3,2,3,-3,-2,2,3,3
240,2,0,-1,-3,-2,2,2,3,1,-2,-2
241,-2,-2,-2,-1,2,3,0,3,-2,-3,0
242,0,2,3,3,3,2,-3,-3,1,2,1
243,2,2,-2,-2,-3,-2,2,2,2,1,-2
244,2,0,-2,-3,-2,-2,1,2,1,1,0
245,-2,-3,3,3,3,3,-3,-3,-3,-3,-3
246,3,3,-2,-3,-2,1,2,3,3,2,-2
247,2,1,-1,-2,-1,1,2,2,1,-2,-2
248,2,-3,-3,-3,-3,-3,-3,-3,2,-3,-3
249,-2,-1,3,3,2,2,-3,-2,-2,0,-1
250,1,1,-1,-2,-1,1,1,1,1,0,0
251,-2,-2,-1,0,2,2,1,0,-2,-1,0
252,-3,-2,0,1,-3,-3,-3,-1,0,1,-2
253,-3,-3,-3,-1,2,1,-2,-1,-3,0,0
254,2,2,3,-1,2,-1,-1,-1,-1,-1,3
255,-2,2,3,3,3,3,2,-3,-3,0,-1
256,-1,1,0,2,1,2,2,1,-2,-2,-1
257,2,2,2,-2,-2,0,1,2,2,-2,-2
258,2,2,1,-1,-2,-2,1,1,1,1,0
259,2,2,-2,-2,-2,3,3,3,3,-2,-3
260,-1,2,2,1,0,-2,-2,-1,3,3,2
261,2,1,0,-1,-1,2,2,2,1,-2,-2
262,0,1,2,1,-1,-2,-2,-1,0,2,2
263,3,3,3,-3,-3,-3,-3,2,3,3,-2
264,-1,-1,-1,-1,-1,3,3,3,3,-3,-3
265,-1,-1,2,2,2,-1,-2,-2,-2,-2,0
266,2,0,-2,-2,-2,0,2,3,2,0,-2
267,-3,-3,-3,1,2,0,0,1,2,0,-3
268,-3,-3,-3,-3,-3,2,-1,-3,-3,-3,-1
269,-2,-3,-2,0,2,2,0,-2,-2,-2,0
270,3,1,0,-1,-2,2,2,2,2,-2,-2
271,1,1,-2,-3,-1,2,2,2,-2,-1,1
272,-1,1,1,2,-1,-1,-2,-1,0,2,1
273,-3,-3,-2,2,3,3,3,-3,-3,-3,0
274,-2,-2,-2,0,2,3,2,2,-2,-3,-2
275,1,2,3,3,2,-3,-1,2,3,2,2
276,-2,-1,1,1,1,-1,-2,-2,-2,-1,-1
277,-2,2,-1,3,2,2,2,0,3,2,2
278,1,-2,-2,-3,-3,-2,3,2,2,-2,-2
279,3,2,1,-1,-1,1,2,3,2,2,-1
280,2,2,2,2,-2,-2,-2,-2,1,2,2
281,3,3,1,-2,-3,-2,-2,-1,-2,-2,-3
282,-2,-1,-1,2,2,0,-1,-2,-1,0,1
283,-3,2,2,0,1,1,2,2,3,2,1
284,1,-1,-2,-2,-2,-2,0,1,0,-2,-2
285,-2,3,3,1,-2,0,-3,-1,2,3,3
286,3,0,-3,-3,-3,-1,2,2,2,2,2
287,-3,-3,2,2,2,-1,-3,-3,-2,-1,1
288,3,3,3,3,1,-2,2,3,3,3,-3
289,0,-2,-2,-2,-2,0,0,-2,-3,-2,-2
290,1,-1,-1,-3,-3,-2,0,2,3,2,2
291,2,-2,-2,-3,2,2,3,2,1,-2,1
292,-1,-2,-3,-2,-2,-2,2,2,-2,-2,-2
293,-1,3,3,3,2,-2,-3,1,1,-1,-1
294,1,2,3,-1,1,-1,-1,0,2,2,2
295,-1,0,1,2,1,-1,-2,-2,-2,0,1
296,0,-3,-3,0,2,3,3,3,-3,-3,-3
297,-2,-1,2,2,0,-2,-2,-1,2,2,1
298,2,1,-2,0,-2,2,2,2,1,-2,-2
299,0,2,2,2,-1,0,1,2,2,2,2
300,-1,2,2,2,1,-1,-3,-2,-2,-1,0
301,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3
302,-2,-3,-2,-2,2,3,-1,-2,-2,-1,2
303,2,2,2,0,-2,-2,2,-1,3,-1,-2
304,-1,-3,-2,-2,-1,0,1,-1,-2,-2,-2
305,1,0,-2,-2,-1,-1,-1,-1,2,2,1
306,2,2,-1,-1,2,2,2,-1,-2,-2,-2
307,3,-2,-3,-3,-3,-3,2,2,2,1,-1
308,1,2,-1,-2,-1,-1,3,2,2,-2,-2
309,2,1,1,-1,-2,-1,1,1,1,1,0
310,1,2,-1,-1,-1,1,2,2,2,1,-2
311,-3,-3,-2,0,2,3,3,3,3,-1,-1
312,2,0,-2,-3,1,2,3,3,3,0,-3
313,1,-1,-2,-2,-2,1,2,2,1,-1,-1
314,2,2,-1,-2,-2,-2,-2,-1,1,-1,-1
315,0,2,2,-1,-2,-2,-1,2,1,0,-1
316,1,-1,-1,-2,-1,1,1,2,-1,-1,-1
317,-1,-2,-1,1,1,2,-1,-1,-1,1,2
318,0,2,2,2,1,-2,-2,-2,2,2,0
319,2,-1,-1,-1,0,2,1,2,0,1,1
320,-3,-2,-1,1,1,2,2,1,0,2,2
321,2,0,-1,-3,-2,-2,1,2,2,2,-1
322,-2,-1,0,1,1,1,0,-1,-2,-2,2
323,2,2,-1,-2,-2,-2,-1,1,1,2,-1
324,1,2,2,1,-2,-2,-2,1,0,2,1
325,-2,-2,-3,-2,-1,2,2,1,-1,-1,-1
326,-3,-3,-3,0,2,1,-2,-2,-3,-2,-1
327,-1,-3,-3,-3,-1,2,2,1,-2,-3,-2
328,2,3,2,1,-1,-3,-2,-2,3,3,2
329,-1,0,2,2,2,-3,-3,-3,-2,2,1
330,1,-1,-1,-2,2,2,2,1,-2,-2,-2
331,-3,-3,3,3,3,3,1,-2,2,3,3
332,-2,-3,-3,-3,2,1,1,-1,-2,-2,-2
333,3,-3,-3,-3,-3,-3,1,2,0,0,1
334,3,2,-2,-3,-2,-2,1,3,2,0,-2
335,1,-2,-2,-1,1,1,1,0,-2,-2,-1
336,2,2,1,-1,-3,-2,-2,-1,0,1,-1
337,-2,0,2,2,2,1,-2,-2,-2,2,2
338,2,-2,-3,-2,3,3,3,3,-2,-3,-3
339,-2,-1,-1,1,1,1,1,-1,-1,0,1
340,-2,-2,-2,0,0,-2,-2,-2,-1,2,2
341,0,2,2,-1,-2,-2,-2,-1,2,2,2
342,-1,0,1,2,2,2,2,1,-1,-2,-1
343,-1,-2,-3,-2,0,2,2,0,-2,-2,1
344,-2,-2,-1,2,2,2,-1,-2,-3,-3,-2
345,-3,-3,-2,2,2,2,-1,-1,-2,2,2
346,-2,-2,-2,2,2,0,1,-3,-2,0,2
347,-2,-2,-2,-2,0,0,-2,-2,-2,-1,2
348,-1,-3,-1,-1,2,2,-1,-2,-2,-2,-2
349,-2,-3,-2,-2,1,2,-1,-2,-2,0,2
350,0,-2,-2,-1,-1,-1,-1,2,2,1,-1
351,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3
352,1,-2,-2,-1,2,2,2,2,-2,-3,-2
353,2,-2,-3,-3,1,2,2,1,-2,-3,-3
354,-2,-2,-2,2,3,2,-1,-2,-3,-2,-2
355,-2,-2,-1,1,1,0,1,1,1,0,0
356,-3,-3,-1,-2,1,2,1,1,-2,-2,-2
357,0,-3,-2,2,2,2,2,-2,-2,-2,2
358,-2,-2,-2,1,0,2,1,1,-1,-2,-2
359,-2,1,1,2,-1,-2,-2,-2,1,1,2
360,2,2,0,-2,-2,1,2,2,2,0,-1
361,2,1,-2,-1,-1,2,3,3,1,-2,-3
362,2,2,-2,-2,-2,0,2,3,2,2,1
363,1,1,0,-2,-2,0,2,2,1,-2,1
364,-3,0,-1,1,1,-2,-2,-2,-2,1,2
365,3,-1,2,-1,-1,-1,-1,-1,3,3,3
366,2,2,2,1,3,2,2,1,-3,-2,-1
367,0,1,-1,-2,-3,-2,-2,0,1,-2,-1
368,2,-1,-2,-1,-1,3,2,2,-2,-2,-3
369,-1,1,-3,-2,0,1,3,-1,-2,-2,-2
370,-2,-2,-2,2,1,1,-1,-2,-1,1,1
