Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
4/28/2020,1,13,478,,0,,0,,,,,,,,,2,1,
4/29/2020,1,13,491,,0,,0,,,,,,,,,2,1,
4/30/2020,1,13,504,,0,,0,,,,,,,,,2,1,
05/01/2020,1,10,514,,0,,0,,,,,,,,,2,1,
05/02/2020,1,8,522,,0,,0,,,,,,,,,2,2,
05/03/2020,1,7,529,,0,,0,,,,,,,,,2,1,
05/04/2020,1,7,536,,0,,0,,,,,,,,,2,1,
05/05/2020,1,11,547,,0,,0,,,,,,,,,2,1,
05/06/2020,1,12,559,,0,,0,,,,,,,,,2,1,
05/07/2020,1,13,572,,0,,0,,,,,,,,,2,1,
05/08/2020,1,10,582,,0,,0,,,,,,,,,2,1,
05/09/2020,1,8,590,,0,,0,,,,,,,,,2,1,
05/10/2020,1,9,599,,0,,0,,,,,,,,,2,1,
05/11/2020,1,7,606,,0,,0,,,,,,,,,2,1,
05/12/2020,1,7,613,,0,,0,,,,,,,,,3,1,
5/13/2020,1,4,617,,0,,0,,,,,,,,,3,1,
5/14/2020,1,8,625,,0,,0,,,,,,,,,3,1,
5/15/2020,1,14,639,,0,,0,,,,,,,,,3,1,
5/16/2020,1,17,656,,0,,0,,,,,,,,,3,1,
5/17/2020,1,16,672,,0,,0,,,,,,,,,3,1,
5/18/2020,1,11,683,,0,,0,,,,,,,,,3,1,
5/19/2020,1,5,688,,0,,0,,,,,,,,,3,1,
5/20/2020,1,6,694,,0,,0,,,,,,,,,3,1,
5/21/2020,1,7,701,,0,,0,,,,,,,,,2,1,
5/22/2020,1,11,712,,0,,0,,,,,,,,,2,1,
5/23/2020,1,8,720,,0,,0,,,,,,,,,2,1,
5/24/2020,1,10,730,,0,,0,,,,,,,,,3,1,
5/25/2020,1,8,738,,0,,0,,,,,,,,,2,1,
5/26/2020,1,13,751,,0,,0,,,,,,,,,2,1,
5/27/2020,1,17,768,,0,,0,,,,,,,,,2,1,
5/28/2020,1,24,792,,0,,0,,,,,,,,,2,1,
5/29/2020,1,24,816,,0,,0,,,,,,,,,2,1,
5/30/2020,1,24,840,,0,,0,,,,,,,,,2,1,
5/31/2020,1,20,860,,0,,0,,,,,,,,,2,1,
06/01/2020,1,15,875,,0,,0,,,,,,,,,2,1,
06/02/2020,1,14,889,,0,,0,,,,,,,,,2,1,
06/03/2020,1,15,904,,0,,0,,,,,,,,,2,1,
06/04/2020,1,18,922,,0,,0,,,,,,,,,3,1,
06/05/2020,1,16,938,,0,,0,,,,,,,,,2,1,
06/06/2020,1,16,954,,0,,0,,,,,,,,,2,1,
06/07/2020,1,17,971,,0,,0,,,,,,,,,3,1,
06/08/2020,1,17,988,,0,,0,,,,,,,,,3,1,
06/09/2020,1,22,1010,,0,,0,,,,,,,,,3,1,
06/10/2020,1,32,1042,,0,,0,,,,,,,,,3,1,
06/11/2020,1,40,1082,,0,,0,,,,,,,,,2,1,
06/12/2020,1,39,1121,,0,,0,,,,,,,,,2,1,
6/13/2020,1,41,1162,,0,,0,,,,,,,,,3,1,
6/14/2020,1,46,1208,,0,,0,,,,,,,,,3,1,
6/15/2020,1,58,1266,,0,,0,,,,,,,,,3,1,
6/16/2020,1,69,1335,,0,,0,,,,,,,,,3,1,
6/17/2020,1,67,1402,,0,,0,,,,,,,,,2,2,
6/18/2020,1,66,1468,,0,,0,,,,,,,,,3,1,
6/19/2020,1,55,1523,,0,,0,,,,,,,,,3,1,
6/20/2020,1,57,1580,,0,,0,,,,,,,,,3,1,
6/21/2020,1,46,1626,,0,,0,,,,,,,,,3,1,
6/22/2020,1,52,1678,,0,,0,,,,,,,,,3,1,
6/23/2020,1,52,1730,,0,,0,,,,,,,,,3,1,
6/24/2020,1,63,1793,,0,,0,,,,,,,,,3,1,
6/25/2020,1,65,1858,,0,,0,,,,,,,,,3,1,
6/26/2020,1,74,1932,,0,,0,,,,,,,,,3,1,
6/27/2020,1,72,2004,,0,,0,,,,,,,,,3,1,
6/28/2020,1,70,2074,,0,,0,,,,,,,,,3,1,
6/29/2020,1,66,2140,,0,,0,,,,,,,,,3,1,
6/30/2020,1,68,2208,,0,,0,,,,,,,,,3,1,
