Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
2,26,1,-1,-2,-2,-2,-2,1,1,0,-2,-2
2,27,-1,-2,-2,-2,-2,1,1,0,-2,-2,-2
2,28,-2,-2,-2,-2,1,1,0,-2,-2,-2,2
2,29,-2,-2,-2,1,1,0,-2,-2,-2,2,-3
2,30,-2,-2,1,1,0,-2,-2,-2,2,-3,2
2,31,-2,1,1,0,-2,-2,-2,2,-3,2,2
2,32,1,1,0,-2,-2,-2,2,-3,2,2,2
2,33,1,0,-2,-2,-2,2,-3,2,2,2,-2
2,34,0,-2,-2,-2,2,-3,2,2,2,-2,-2
2,35,-2,-2,-2,2,-3,2,2,2,-2,-2,0
2,36,-2,-2,2,-3,2,2,2,-2,-2,0,-1
2,37,-2,2,-3,2,2,2,-2,-2,0,-1,2
2,38,2,-3,2,2,2,-2,-2,0,-1,2,2
2,39,-3,2,2,2,-2,-2,0,-1,2,2,2
2,40,2,2,2,-2,-2,0,-1,2,2,2,2
2,41,2,2,-2,-2,0,-1,2,2,2,2,1
2,42,2,-2,-2,0,-1,2,2,2,2,1,-1
2,43,-2,-2,0,-1,2,2,2,2,1,-1,0
2,44,-2,0,-1,2,2,2,2,1,-1,0,3
2,45,0,-1,2,2,2,2,1,-1,0,3,3
2,46,-1,2,2,2,2,1,-1,0,3,3,3
2,47,2,2,2,2,1,-1,0,3,3,3,2
2,48,2,2,2,1,-1,0,3,3,3,2,2
2,49,2,2,1,-1,0,3,3,3,2,2,0
2,50,2,1,-1,0,3,3,3,2,2,0,3
2,51,1,-1,0,3,3,3,2,2,0,3,3
2,52,-1,0,3,3,3,2,2,0,3,3,2
2,53,0,3,3,3,2,2,0,3,3,2,-1
2,54,3,3,3,2,2,0,3,3,2,-1,-2
2,55,3,3,2,2,0,3,3,2,-1,-2,-2
2,56,3,2,2,0,3,3,2,-1,-2,-2,-2
2,57,2,2,0,3,3,2,-1,-2,-2,-2,-2
2,58,2,0,3,3,2,-1,-2,-2,-2,-2,-2
2,59,0,3,3,2,-1,-2,-2,-2,-2,-2,-1
2,60,3,3,2,-1,-2,-2,-2,-2,-2,-1,2
2,61,3,2,-1,-2,-2,-2,-2,-2,-1,2,3
2,62,2,-1,-2,-2,-2,-2,-2,-1,2,3,2
2,63,-1,-2,-2,-2,-2,-2,-1,2,3,2,3
2,64,-2,-2,-2,-2,-2,-1,2,3,2,3,2
2,65,-2,-2,-2,-2,-1,2,3,2,3,2,2
2,66,-2,-2,-2,-1,2,3,2,3,2,2,2
