Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
1,217,2,3,0,3,0,0
1,218,3,0,3,0,0,0
1,219,0,3,0,0,0,-1
1,220,3,0,0,0,-1,1
1,221,0,0,0,-1,1,-1
1,222,0,0,-1,1,-1,-2
1,223,0,-1,1,-1,-2,-2
1,224,-1,1,-1,-2,-2,-2
1,225,1,-1,-2,-2,-2,0
1,226,-1,-2,-2,-2,0,-3
1,227,-2,-2,-2,0,-3,-2
1,228,-2,-2,0,-3,-2,-2
1,229,-2,0,-3,-2,-2,1
1,230,0,-3,-2,-2,1,-3
1,231,-3,-2,-2,1,-3,2
1,232,-2,-2,1,-3,2,0
1,233,-2,1,-3,2,0,-2
1,234,1,-3,2,0,-2,-2
1,235,-3,2,0,-2,-2,2
1,236,2,0,-2,-2,2,2
1,237,0,-2,-2,2,2,2
1,238,-2,-2,2,2,2,-2
1,239,-2,2,2,2,-2,0
1,240,2,2,2,-2,0,-2
1,241,2,2,-2,0,-2,-1
1,242,2,-2,0,-2,-1,-2
1,243,-2,0,-2,-1,-2,-2
1,244,0,-2,-1,-2,-2,-2
1,245,-2,-1,-2,-2,-2,-2
1,246,-1,-2,-2,-2,-2,-2
1,247,-2,-2,-2,-2,-2,-2
1,248,-2,-2,-2,-2,-2,-2
1,249,-2,-2,-2,-2,-2,-2
1,250,-2,-2,-2,-2,-2,1
1,251,-2,-2,-2,-2,1,-1
1,252,-2,-2,-2,1,-1,-2
1,253,-2,-2,1,-1,-2,-2
1,254,-2,1,-1,-2,-2,-2
2,1,0,-1,-1,-1,-2,-2
2,2,-1,-1,-1,-2,-2,-2
2,3,-1,-1,-2,-2,-2,-2
2,4,-1,-2,-2,-2,-2,-2
2,5,-2,-2,-2,-2,-2,-2
2,6,-2,-2,-2,-2,-2,0
2,7,-2,-2,-2,-2,0,1
2,8,-2,-2,-2,0,1,1
2,9,-2,-2,0,1,1,1
2,10,-2,0,1,1,1,-2
2,11,0,1,1,1,-2,0
2,12,1,1,1,-2,0,-2
2,13,1,1,-2,0,-2,0
2,14,1,-2,0,-2,0,0
2,15,-2,0,-2,0,0,2
2,16,0,-2,0,0,2,2
2,17,-2,0,0,2,2,2
2,18,0,0,2,2,2,-2
2,19,0,2,2,2,-2,-2
2,20,2,2,2,-2,-2,-2
2,21,2,2,-2,-2,-2,1
2,22,2,-2,-2,-2,1,-1
2,23,-2,-2,-2,1,-1,-2
2,24,-2,-2,1,-1,-2,-2
2,25,-2,1,-1,-2,-2,-2
2,26,1,-1,-2,-2,-2,-2
2,27,-1,-2,-2,-2,-2,1
2,28,-2,-2,-2,-2,1,1
2,29,-2,-2,-2,1,1,0
2,30,-2,-2,1,1,0,-2
2,31,-2,1,1,0,-2,-2
2,32,1,1,0,-2,-2,-2
2,33,1,0,-2,-2,-2,2
2,34,0,-2,-2,-2,2,-3
2,35,-2,-2,-2,2,-3,2
2,36,-2,-2,2,-3,2,2
2,37,-2,2,-3,2,2,2
2,38,2,-3,2,2,2,-2
2,39,-3,2,2,2,-2,-2
2,40,2,2,2,-2,-2,0
2,41,2,2,-2,-2,0,-1
2,42,2,-2,-2,0,-1,2
2,43,-2,-2,0,-1,2,2
2,44,-2,0,-1,2,2,2
2,45,0,-1,2,2,2,2
2,46,-1,2,2,2,2,1
2,47,2,2,2,2,1,-1
2,48,2,2,2,1,-1,0
2,49,2,2,1,-1,0,3
2,50,2,1,-1,0,3,3
2,51,1,-1,0,3,3,3
2,52,-1,0,3,3,3,2
2,53,0,3,3,3,2,2
2,54,3,3,3,2,2,0
2,55,3,3,2,2,0,3
2,56,3,2,2,0,3,3
2,57,2,2,0,3,3,2
2,58,2,0,3,3,2,-1
2,59,0,3,3,2,-1,-2
2,60,3,3,2,-1,-2,-2
2,61,3,2,-1,-2,-2,-2
2,62,2,-1,-2,-2,-2,-2
2,63,-1,-2,-2,-2,-2,-2
2,64,-2,-2,-2,-2,-2,-1
2,65,-2,-2,-2,-2,-1,2
2,66,-2,-2,-2,-1,2,3
2,67,-2,-2,-1,2,3,2
2,68,-2,-1,2,3,2,3
