Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
1,88,2,1,-2,-2,-2,-2,-2,-2
1,89,1,-2,-2,-2,-2,-2,-2,2
1,90,-2,-2,-2,-2,-2,-2,2,2
1,91,-2,-2,-2,-2,-2,2,2,0
1,92,-2,-2,-2,-2,2,2,0,-1
1,93,-2,-2,-2,2,2,0,-1,-2
1,94,-2,-2,2,2,0,-1,-2,-1
1,95,-2,2,2,0,-1,-2,-1,-2
1,96,2,2,0,-1,-2,-1,-2,-2
1,97,2,0,-1,-2,-1,-2,-2,0
1,98,0,-1,-2,-1,-2,-2,0,1
1,99,-1,-2,-1,-2,-2,0,1,1
1,100,-2,-1,-2,-2,0,1,1,2
1,101,-1,-2,-2,0,1,1,2,-1
1,102,-2,-2,0,1,1,2,-1,2
1,103,-2,0,1,1,2,-1,2,2
1,104,0,1,1,2,-1,2,2,2
1,105,1,1,2,-1,2,2,2,2
1,106,1,2,-1,2,2,2,2,-1
1,107,2,-1,2,2,2,2,-1,-2
1,108,-1,2,2,2,2,-1,-2,-2
1,109,2,2,2,2,-1,-2,-2,-2
1,110,2,2,2,-1,-2,-2,-2,-2
1,111,2,2,-1,-2,-2,-2,-2,-1
1,112,2,-1,-2,-2,-2,-2,-1,-2
1,113,-1,-2,-2,-2,-2,-1,-2,-2
1,114,-2,-2,-2,-2,-1,-2,-2,0
1,115,-2,-2,-2,-1,-2,-2,0,-2
1,116,-2,-2,-1,-2,-2,0,-2,-2
1,117,-2,-1,-2,-2,0,-2,-2,-2
1,118,-1,-2,-2,0,-2,-2,-2,-2
1,119,-2,-2,0,-2,-2,-2,-2,-2
1,120,-2,0,-2,-2,-2,-2,-2,-2
1,121,0,-2,-2,-2,-2,-2,-2,-2
1,122,-2,-2,-2,-2,-2,-2,-2,-1
1,123,-2,-2,-2,-2,-2,-2,-1,-2
1,124,-2,-2,-2,-2,-2,-1,-2,-2
1,125,-2,-2,-2,-2,-1,-2,-2,-2
1,126,-2,-2,-2,-1,-2,-2,-2,-2
1,127,-2,-2,-1,-2,-2,-2,-2,-3
1,128,-2,-1,-2,-2,-2,-2,-3,-2
1,129,-1,-2,-2,-2,-2,-3,-2,-1
1,130,-2,-2,-2,-2,-3,-2,-1,0
1,131,-2,-2,-2,-3,-2,-1,0,2
1,132,-2,-2,-3,-2,-1,0,2,2
1,133,-2,-3,-2,-1,0,2,2,2
1,134,-3,-2,-1,0,2,2,2,-1
1,135,-2,-1,0,2,2,2,-1,0
1,136,-1,0,2,2,2,-1,0,1
1,137,0,2,2,2,-1,0,1,2
1,138,2,2,2,-1,0,1,2,-1
1,139,2,2,-1,0,1,2,-1,2
1,140,2,-1,0,1,2,-1,2,2
1,141,-1,0,1,2,-1,2,2,-2
1,142,0,1,2,-1,2,2,-2,-2
1,143,1,2,-1,2,2,-2,-2,-2
1,144,2,-1,2,2,-2,-2,-2,-2
1,145,-1,2,2,-2,-2,-2,-2,-2
1,146,2,2,-2,-2,-2,-2,-2,-2
1,147,2,-2,-2,-2,-2,-2,-2,2
1,148,-2,-2,-2,-2,-2,-2,2,-1
1,149,-2,-2,-2,-2,-2,2,-1,1
1,150,-2,-2,-2,-2,2,-1,1,-1
