Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action to Next Point
1,91,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2
1,92,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2
1,93,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2
1,94,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1
1,95,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2
1,96,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2
1,97,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2
1,98,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2
1,99,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2
1,100,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3
1,101,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0
1,102,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2
1,103,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2
1,104,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1
1,105,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0
1,106,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0
1,107,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2
1,108,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2
1,109,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2
1,110,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3
1,111,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2
1,112,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0
1,113,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0
1,114,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2
1,115,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2
1,116,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2
1,117,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1
1,118,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2
1,119,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2
1,120,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2
1,121,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1
1,122,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2
1,123,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3
1,124,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0
1,125,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1
1,126,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2
1,127,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2
1,128,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0
1,129,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2
1,130,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3
1,131,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2
1,132,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2
1,133,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2
1,134,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2
1,135,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3
1,136,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2
1,137,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3
1,138,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2
1,139,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2
1,140,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2
1,141,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2
1,142,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3
1,143,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2
1,144,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2
1,145,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2
1,146,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0
1,147,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0
1,148,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1
1,149,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2
1,150,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1
1,151,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2
1,152,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2
1,153,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0
1,154,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1
1,155,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1
1,156,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2
1,157,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2
1,158,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2
1,159,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2
1,160,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1
1,161,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2
1,162,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1
1,163,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1
1,164,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2
1,165,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1
1,166,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0
1,167,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2
1,168,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3
1,169,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0
1,170,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2
1,171,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1
1,172,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0
1,173,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2
1,174,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2
1,175,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3
1,176,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1
1,177,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1
1,178,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2
1,179,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1
1,180,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1
1,181,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2
1,182,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2
1,183,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2
1,184,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1
1,185,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1
1,186,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2
1,187,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2
1,188,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1
1,189,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2
1,190,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2
1,191,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2
1,192,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2
1,193,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2
1,194,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2
1,195,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2
1,196,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1
1,197,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2
1,198,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2
1,199,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2
1,200,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3
1,201,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1
1,202,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2
1,203,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2
1,204,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2
1,205,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2
1,206,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0
1,207,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2
1,208,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2
1,209,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1
1,210,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2
1,211,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2
1,212,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3
1,213,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1
1,214,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1
1,215,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1
1,216,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2
1,217,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2
1,218,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2
1,219,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3
