Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
1,152,-1,-2,1,2,-2,-2,-3,1,1,0,1
1,153,-2,1,2,-2,-2,-3,1,1,0,1,-1
1,154,1,2,-2,-2,-3,1,1,0,1,-1,-2
1,155,2,-2,-2,-3,1,1,0,1,-1,-2,-1
1,156,-2,-2,-3,1,1,0,1,-1,-2,-1,-2
1,157,-2,-3,1,1,0,1,-1,-2,-1,-2,-2
1,158,-3,1,1,0,1,-1,-2,-1,-2,-2,0
1,159,1,1,0,1,-1,-2,-1,-2,-2,0,1
1,160,1,0,1,-1,-2,-1,-2,-2,0,1,1
1,161,0,1,-1,-2,-1,-2,-2,0,1,1,-2
1,162,1,-1,-2,-1,-2,-2,0,1,1,-2,-2
1,163,-1,-2,-1,-2,-2,0,1,1,-2,-2,-1
1,164,-2,-1,-2,-2,0,1,1,-2,-2,-1,1
1,165,-1,-2,-2,0,1,1,-2,-2,-1,1,-1
1,166,-2,-2,0,1,1,-2,-2,-1,1,-1,-2
1,167,-2,0,1,1,-2,-2,-1,1,-1,-2,1
1,168,0,1,1,-2,-2,-1,1,-1,-2,1,2
1,169,1,1,-2,-2,-1,1,-1,-2,1,2,1
1,170,1,-2,-2,-1,1,-1,-2,1,2,1,-1
1,171,-2,-2,-1,1,-1,-2,1,2,1,-1,1
1,172,-2,-1,1,-1,-2,1,2,1,-1,1,2
1,173,-1,1,-1,-2,1,2,1,-1,1,2,2
1,174,1,-1,-2,1,2,1,-1,1,2,2,2
1,175,-1,-2,1,2,1,-1,1,2,2,2,2
1,176,-2,1,2,1,-1,1,2,2,2,2,-1
1,177,1,2,1,-1,1,2,2,2,2,-1,1
1,178,2,1,-1,1,2,2,2,2,-1,1,2
1,179,1,-1,1,2,2,2,2,-1,1,2,2
1,180,-1,1,2,2,2,2,-1,1,2,2,2
1,181,1,2,2,2,2,-1,1,2,2,2,2
1,182,2,2,2,2,-1,1,2,2,2,2,2
1,183,2,2,2,-1,1,2,2,2,2,2,0
1,184,2,2,-1,1,2,2,2,2,2,0,0
1,185,2,-1,1,2,2,2,2,2,0,0,1
1,186,-1,1,2,2,2,2,2,0,0,1,2
1,187,1,2,2,2,2,2,0,0,1,2,2
1,188,2,2,2,2,2,0,0,1,2,2,2
1,189,2,2,2,2,0,0,1,2,2,2,1
1,190,2,2,2,0,0,1,2,2,2,1,0
1,191,2,2,0,0,1,2,2,2,1,0,-2
1,192,2,0,0,1,2,2,2,1,0,-2,-2
1,193,0,0,1,2,2,2,1,0,-2,-2,2
1,194,0,1,2,2,2,1,0,-2,-2,2,2
1,195,1,2,2,2,1,0,-2,-2,2,2,2
1,196,2,2,2,1,0,-2,-2,2,2,2,-2
1,197,2,2,1,0,-2,-2,2,2,2,-2,-2
1,198,2,1,0,-2,-2,2,2,2,-2,-2,-2
1,199,1,0,-2,-2,2,2,2,-2,-2,-2,-2
1,200,0,-2,-2,2,2,2,-2,-2,-2,-2,-2
1,201,-2,-2,2,2,2,-2,-2,-2,-2,-2,-1
1,202,-2,2,2,2,-2,-2,-2,-2,-2,-1,2
1,203,2,2,2,-2,-2,-2,-2,-2,-1,2,2
1,204,2,2,-2,-2,-2,-2,-2,-1,2,2,2
1,205,2,-2,-2,-2,-2,-2,-1,2,2,2,2
1,206,-2,-2,-2,-2,-2,-1,2,2,2,2,2
1,207,-2,-2,-2,-2,-1,2,2,2,2,2,2
1,208,-2,-2,-2,-1,2,2,2,2,2,2,2
1,209,-2,-2,-1,2,2,2,2,2,2,2,3
1,210,-2,-1,2,2,2,2,2,2,2,3,-2
1,211,-1,2,2,2,2,2,2,2,3,-2,-2
1,212,2,2,2,2,2,2,2,3,-2,-2,-2
1,213,2,2,2,2,2,2,3,-2,-2,-2,-2
1,214,2,2,2,2,2,3,-2,-2,-2,-2,-2
1,215,2,2,2,2,3,-2,-2,-2,-2,-2,1
1,216,2,2,2,3,-2,-2,-2,-2,-2,1,-2
1,217,2,2,3,-2,-2,-2,-2,-2,1,-2,-2
1,218,2,3,-2,-2,-2,-2,-2,1,-2,-2,-2
1,219,3,-2,-2,-2,-2,-2,1,-2,-2,-2,-2
1,220,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0
1,221,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2
1,222,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2
1,223,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2
1,224,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2
1,225,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-3
1,226,-2,-2,-2,-2,0,-2,-2,-2,-2,-3,2
1,227,-2,-2,-2,0,-2,-2,-2,-2,-3,2,-1
1,228,-2,-2,0,-2,-2,-2,-2,-3,2,-1,0
1,229,-2,0,-2,-2,-2,-2,-3,2,-1,0,2
1,230,0,-2,-2,-2,-2,-3,2,-1,0,2,2
1,231,-2,-2,-2,-2,-3,2,-1,0,2,2,2
1,232,-2,-2,-2,-3,2,-1,0,2,2,2,2
1,233,-2,-2,-3,2,-1,0,2,2,2,2,2
1,234,-2,-3,2,-1,0,2,2,2,2,2,0
1,235,-3,2,-1,0,2,2,2,2,2,0,2
1,236,2,-1,0,2,2,2,2,2,0,2,1
1,237,-1,0,2,2,2,2,2,0,2,1,-2
1,238,0,2,2,2,2,2,0,2,1,-2,-2
1,239,2,2,2,2,2,0,2,1,-2,-2,-3
1,240,2,2,2,2,0,2,1,-2,-2,-3,2
