Total errors 6398

21/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/06/2020 | Non-essential shops                      | East Midlands
20/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/06/2020 | Non-essential shops                      | East Midlands
19/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/06/2020 | Non-essential shops                      | East Midlands
18/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/06/2020 | Non-essential shops                      | East Midlands
17/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/06/2020 | Non-essential shops                      | East Midlands
16/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/06/2020 | Non-essential shops                      | East Midlands
15/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/06/2020 | Non-essential shops                      | East Midlands
14/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/06/2020 | Non-essential shops                      | East Midlands
13/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/06/2020 | Non-essential shops                      | East Midlands
12/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/06/2020 | Non-essential shops                      | East Midlands
11/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/06/2020 | Non-essential shops                      | East Midlands
10/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/06/2020 | Non-essential shops                      | East Midlands
09/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/06/2020 | Non-essential shops                      | East Midlands
08/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/06/2020 | Non-essential shops                      | East Midlands
07/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/06/2020 | Non-essential shops                      | East Midlands
06/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/06/2020 | Non-essential shops                      | East Midlands
05/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/06/2020 | Non-essential shops                      | East Midlands
04/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/06/2020 | Non-essential shops                      | East Midlands
03/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/06/2020 | Non-essential shops                      | East Midlands
02/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/06/2020 | Non-essential shops                      | East Midlands
01/06/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/06/2020 | Non-essential shops                      | East Midlands
31/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
31/05/2020 | Non-essential shops                      | East Midlands
30/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/05/2020 | Non-essential shops                      | East Midlands
29/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/05/2020 | Non-essential shops                      | East Midlands
28/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/05/2020 | Non-essential shops                      | East Midlands
27/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/05/2020 | Non-essential shops                      | East Midlands
26/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/05/2020 | Non-essential shops                      | East Midlands
25/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/05/2020 | Non-essential shops                      | East Midlands
24/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/05/2020 | Non-essential shops                      | East Midlands
23/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/05/2020 | Non-essential shops                      | East Midlands
22/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/05/2020 | Non-essential shops                      | East Midlands
21/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/05/2020 | Non-essential shops                      | East Midlands
20/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/05/2020 | Non-essential shops                      | East Midlands
19/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/05/2020 | Non-essential shops                      | East Midlands
18/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/05/2020 | Non-essential shops                      | East Midlands
17/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/05/2020 | Non-essential shops                      | East Midlands
16/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/05/2020 | Non-essential shops                      | East Midlands
15/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/05/2020 | Non-essential shops                      | East Midlands
14/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/05/2020 | Non-essential shops                      | East Midlands
13/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/05/2020 | Non-essential shops                      | East Midlands
12/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/05/2020 | Non-essential shops                      | East Midlands
11/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/05/2020 | Non-essential shops                      | East Midlands
10/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/05/2020 | Non-essential shops                      | East Midlands
09/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/05/2020 | Non-essential shops                      | East Midlands
08/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/05/2020 | Non-essential shops                      | East Midlands
07/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/05/2020 | Non-essential shops                      | East Midlands
06/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/05/2020 | Non-essential shops                      | East Midlands
05/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/05/2020 | Non-essential shops                      | East Midlands
04/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/05/2020 | Non-essential shops                      | East Midlands
03/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/05/2020 | Non-essential shops                      | East Midlands
02/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/05/2020 | Non-essential shops                      | East Midlands
01/05/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/05/2020 | Non-essential shops                      | East Midlands
30/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/04/2020 | Non-essential shops                      | East Midlands
29/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/04/2020 | Non-essential shops                      | East Midlands
28/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/04/2020 | Non-essential shops                      | East Midlands
27/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/04/2020 | Non-essential shops                      | East Midlands
26/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/04/2020 | Non-essential shops                      | East Midlands
25/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/04/2020 | Non-essential shops                      | East Midlands
24/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/04/2020 | Non-essential shops                      | East Midlands
23/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/04/2020 | Non-essential shops                      | East Midlands
22/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/04/2020 | Non-essential shops                      | East Midlands
21/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/04/2020 | Non-essential shops                      | East Midlands
20/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/04/2020 | Non-essential shops                      | East Midlands
19/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/04/2020 | Non-essential shops                      | East Midlands
18/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/04/2020 | Non-essential shops                      | East Midlands
17/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/04/2020 | Non-essential shops                      | East Midlands
16/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/04/2020 | Non-essential shops                      | East Midlands
15/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/04/2020 | Non-essential shops                      | East Midlands
14/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/04/2020 | Non-essential shops                      | East Midlands
13/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/04/2020 | Non-essential shops                      | East Midlands
12/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/04/2020 | Non-essential shops                      | East Midlands
11/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/04/2020 | Non-essential shops                      | East Midlands
10/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/04/2020 | Non-essential shops                      | East Midlands
09/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/04/2020 | Non-essential shops                      | East Midlands
08/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/04/2020 | Non-essential shops                      | East Midlands
07/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
07/04/2020 | Non-essential shops                      | East Midlands
06/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
06/04/2020 | Non-essential shops                      | East Midlands
05/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
05/04/2020 | Non-essential shops                      | East Midlands
04/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
04/04/2020 | Non-essential shops                      | East Midlands
03/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
03/04/2020 | Non-essential shops                      | East Midlands
02/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
02/04/2020 | Non-essential shops                      | East Midlands
01/04/2020 | Meeting Friends/Family (Indoor)          | East Midlands
01/04/2020 | Non-essential shops                      | East Midlands
31/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
31/03/2020 | Non-essential shops                      | East Midlands
30/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
30/03/2020 | Non-essential shops                      | East Midlands
29/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
29/03/2020 | Non-essential shops                      | East Midlands
28/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
28/03/2020 | Non-essential shops                      | East Midlands
27/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
27/03/2020 | Non-essential shops                      | East Midlands
26/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
26/03/2020 | Non-essential shops                      | East Midlands
25/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
25/03/2020 | Non-essential shops                      | East Midlands
24/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
24/03/2020 | Non-essential shops                      | East Midlands
23/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
23/03/2020 | Non-essential shops                      | East Midlands
22/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
22/03/2020 | Non-essential shops                      | East Midlands
21/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
21/03/2020 | Non-essential shops                      | East Midlands
20/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
20/03/2020 | Non-essential shops                      | East Midlands
19/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
19/03/2020 | Non-essential shops                      | East Midlands
18/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
18/03/2020 | Non-essential shops                      | East Midlands
17/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
17/03/2020 | Non-essential shops                      | East Midlands
16/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
16/03/2020 | Non-essential shops                      | East Midlands
15/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
15/03/2020 | Non-essential shops                      | East Midlands
14/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
14/03/2020 | Non-essential shops                      | East Midlands
13/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
13/03/2020 | Non-essential shops                      | East Midlands
12/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
12/03/2020 | Non-essential shops                      | East Midlands
11/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
11/03/2020 | Non-essential shops                      | East Midlands
10/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
10/03/2020 | Non-essential shops                      | East Midlands
09/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
09/03/2020 | Non-essential shops                      | East Midlands
08/03/2020 | Meeting Friends/Family (Indoor)          | East Midlands
08/03/2020 | Non-essential shops                      | East Midlands
