Total errors 18120

05/24/2020 | Pubs and bars                            | Spain
05/24/2020 | Sports and leisure                       | Spain
05/24/2020 | Schools Closure                          | Spain
05/25/2020 | Meeting Friends/Family (indoor)          | Spain
05/25/2020 | Meeting Friends/Family (outdoor)         | Spain
05/25/2020 | Domestic Travel                          | Spain
05/25/2020 | Cafes and Restaurants                    | Spain
05/25/2020 | Pubs and bars                            | Spain
05/25/2020 | Sports and leisure                       | Spain
05/25/2020 | Schools Closure                          | Spain
05/26/2020 | Meeting Friends/Family (indoor)          | Spain
05/26/2020 | Meeting Friends/Family (outdoor)         | Spain
05/26/2020 | Domestic Travel                          | Spain
05/26/2020 | Cafes and Restaurants                    | Spain
05/26/2020 | Pubs and bars                            | Spain
05/26/2020 | Sports and leisure                       | Spain
05/26/2020 | Schools Closure                          | Spain
05/27/2020 | Meeting Friends/Family (indoor)          | Spain
05/27/2020 | Meeting Friends/Family (outdoor)         | Spain
05/27/2020 | Domestic Travel                          | Spain
05/27/2020 | Cafes and Restaurants                    | Spain
05/27/2020 | Pubs and bars                            | Spain
05/27/2020 | Sports and leisure                       | Spain
05/27/2020 | Schools Closure                          | Spain
05/28/2020 | Meeting Friends/Family (indoor)          | Spain
05/28/2020 | Meeting Friends/Family (outdoor)         | Spain
05/28/2020 | Domestic Travel                          | Spain
05/28/2020 | Cafes and Restaurants                    | Spain
05/28/2020 | Pubs and bars                            | Spain
05/28/2020 | Sports and leisure                       | Spain
05/28/2020 | Schools Closure                          | Spain
05/29/2020 | Meeting Friends/Family (indoor)          | Spain
05/29/2020 | Meeting Friends/Family (outdoor)         | Spain
05/29/2020 | Domestic Travel                          | Spain
05/29/2020 | Cafes and Restaurants                    | Spain
05/29/2020 | Pubs and bars                            | Spain
05/29/2020 | Sports and leisure                       | Spain
05/29/2020 | Schools Closure                          | Spain
05/30/2020 | Meeting Friends/Family (indoor)          | Spain
05/30/2020 | Meeting Friends/Family (outdoor)         | Spain
05/30/2020 | Domestic Travel                          | Spain
05/30/2020 | Cafes and Restaurants                    | Spain
05/30/2020 | Pubs and bars                            | Spain
05/30/2020 | Sports and leisure                       | Spain
05/30/2020 | Schools Closure                          | Spain
05/31/2020 | Meeting Friends/Family (indoor)          | Spain
05/31/2020 | Meeting Friends/Family (outdoor)         | Spain
05/31/2020 | Domestic Travel                          | Spain
05/31/2020 | Cafes and Restaurants                    | Spain
05/31/2020 | Pubs and bars                            | Spain
05/31/2020 | Sports and leisure                       | Spain
05/31/2020 | Schools Closure                          | Spain
06/01/2020 | Meeting Friends/Family (indoor)          | Spain
06/01/2020 | Meeting Friends/Family (outdoor)         | Spain
06/01/2020 | Domestic Travel                          | Spain
06/01/2020 | Cafes and Restaurants                    | Spain
06/01/2020 | Pubs and bars                            | Spain
06/01/2020 | Sports and leisure                       | Spain
06/01/2020 | Schools Closure                          | Spain
06/02/2020 | Meeting Friends/Family (indoor)          | Spain
06/02/2020 | Meeting Friends/Family (outdoor)         | Spain
06/02/2020 | Domestic Travel                          | Spain
06/02/2020 | Cafes and Restaurants                    | Spain
06/02/2020 | Pubs and bars                            | Spain
06/02/2020 | Sports and leisure                       | Spain
06/02/2020 | Schools Closure                          | Spain
06/03/2020 | Meeting Friends/Family (indoor)          | Spain
06/03/2020 | Meeting Friends/Family (outdoor)         | Spain
06/03/2020 | Domestic Travel                          | Spain
06/03/2020 | Cafes and Restaurants                    | Spain
06/03/2020 | Pubs and bars                            | Spain
06/03/2020 | Sports and leisure                       | Spain
06/03/2020 | Schools Closure                          | Spain
06/04/2020 | Meeting Friends/Family (indoor)          | Spain
