Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor),Meeting Friends/Family (Outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and Bars,Sports and Leisure,Hospitals/ Care and Nursing Home Visits,Non-Essential Shops,School Closure,Temperature,Humidity
1,87,25165,0,2943,87,25165,2,2,1,2,1,1,2,2,0,0,2,1
1,109,25078,1,2943,109,25078,2,2,1,2,1,1,2,2,0,0,2,2
1,119,24969,1,2942,119,24969,2,2,1,2,1,1,2,2,0,0,3,1
1,176,24850,2,2941,176,24850,2,2,1,2,1,1,2,2,0,0,3,1
1,210,24674,2,2939,210,24674,2,2,1,2,1,1,2,2,0,0,3,1
1,72,24464,0,2937,72,24464,2,2,1,2,1,1,2,2,0,0,2,2
1,73,24392,1,2937,73,24392,2,2,1,2,1,1,2,2,0,0,3,1
1,91,24319,0,2936,91,24319,2,2,1,2,1,1,2,2,0,0,3,1
1,113,24228,0,2936,113,24228,2,2,1,2,1,1,2,2,0,0,2,2
1,114,24115,0,2936,114,24115,2,2,1,2,1,1,2,2,0,0,2,1
1,88,24001,2,2936,88,24001,2,2,1,2,1,1,2,2,0,0,2,1
1,108,23913,1,2934,108,23913,2,2,1,2,1,1,2,2,0,0,2,1
1,54,23805,2,2933,54,23805,2,2,1,2,1,1,2,2,0,0,2,1
1,69,23751,0,2931,69,23751,2,2,1,2,1,1,2,2,0,0,2,1
1,75,23682,0,2931,75,23682,2,2,1,2,2,2,2,2,0,0,3,1
1,110,23607,1,2931,110,23607,2,2,1,2,2,2,2,2,0,0,2,1
1,108,23497,1,2930,108,23497,2,2,1,2,2,2,2,2,0,0,2,1
1,77,23389,1,2929,77,23389,2,2,1,2,2,2,2,2,0,0,2,1
1,92,23312,1,2928,92,23312,2,2,1,2,2,2,2,2,0,0,2,2
1,38,23220,5,2927,38,23220,2,2,1,2,2,2,2,2,0,0,2,1
1,44,23182,2,2922,44,23182,2,2,1,2,2,2,2,2,0,0,2,2
1,82,23138,0,2920,82,23138,2,2,1,2,2,2,2,2,0,0,2,1
1,94,23056,1,2920,94,23056,2,2,1,2,2,2,2,2,0,0,2,1
1,88,22962,0,2919,88,22962,2,2,1,2,2,2,2,2,0,0,2,1
1,68,22874,5,2919,68,22874,2,2,1,2,2,2,2,2,0,0,2,1
1,82,22806,2,2914,82,22806,2,2,1,2,2,2,2,2,0,0,2,1
1,48,22724,3,2912,48,22724,2,2,1,2,2,2,2,2,0,0,2,1
1,63,22676,1,2909,63,22676,2,2,1,2,2,2,2,2,0,0,2,2
1,80,22613,2,2908,80,22613,2,2,1,2,2,2,2,2,0,0,2,1
1,92,22533,4,2906,92,22533,2,2,1,2,2,2,2,2,0,0,2,1
1,113,22441,4,2902,113,22441,2,2,1,2,2,2,2,2,0,0,2,2
1,89,22328,2,2898,89,22328,2,2,1,2,2,2,2,2,0,0,2,1
1,104,22239,1,2896,104,22239,2,2,1,2,2,2,2,2,0,0,2,1
1,46,22135,2,2895,46,22135,2,2,1,2,2,2,2,2,0,0,2,1
1,94,22089,2,2893,94,22089,2,2,1,2,2,2,2,2,0,0,2,1
1,99,21995,2,2891,99,21995,2,2,1,2,2,2,2,2,0,0,2,1
1,95,21896,5,2889,95,21896,2,2,1,2,2,2,2,2,0,0,2,2
1,110,21801,2,2884,110,21801,2,2,1,2,2,2,2,2,0,0,2,2
1,108,21691,2,2882,108,21691,2,2,1,2,2,2,2,2,0,0,2,2
1,139,21583,3,2880,139,21583,2,2,1,2,2,2,2,2,0,0,2,1
1,127,21444,4,2877,127,21444,2,2,1,2,2,2,2,2,0,0,2,1
1,84,21317,2,2873,84,21317,2,2,1,2,2,2,2,2,0,0,2,2
1,107,21233,1,2871,107,21233,2,2,1,2,2,2,2,2,0,0,2,2
1,105,21126,4,2870,105,21126,2,2,2,2,3,3,3,2,0,0,2,2
1,120,21021,4,2866,120,21021,2,2,2,2,3,3,3,2,0,0,2,1
1,129,20901,5,2862,129,20901,2,2,2,2,3,3,3,2,0,0,2,1
1,129,20772,5,2857,129,20772,2,2,2,2,3,3,3,2,0,0,2,1
1,78,20643,4,2852,78,20643,2,2,2,2,3,3,3,2,0,0,2,1
1,87,20565,6,2848,87,20565,2,2,2,2,3,3,3,2,0,0,2,2
1,114,20478,5,2842,114,20478,2,2,2,2,3,3,3,2,0,0,3,1
1,126,20364,11,2837,126,20364,2,2,2,2,3,3,3,2,0,0,3,1
1,173,20238,13,2826,173,20238,2,2,2,2,3,3,3,2,0,0,3,1
1,171,20065,6,2813,171,20065,2,2,2,2,3,3,3,2,0,0,2,1
1,177,19894,7,2807,177,19894,2,2,2,2,3,3,3,2,0,0,2,1
1,131,19717,7,2800,131,19717,2,2,2,2,3,3,3,2,0,0,2,1
1,144,19586,12,2793,144,19586,2,2,2,2,3,3,3,2,0,0,2,1
1,153,19442,9,2781,153,19442,2,2,2,2,3,3,3,2,0,0,2,2
1,169,19289,12,2772,169,19289,2,2,2,2,3,3,3,2,0,0,2,2
1,164,19120,6,2760,164,19120,2,2,2,2,3,3,3,2,0,0,2,2
1,161,18956,6,2754,161,18956,2,2,2,2,3,3,3,2,0,0,2,2
1,165,18795,8,2748,165,18795,2,2,2,2,3,3,3,2,0,0,2,2
1,145,18630,14,2740,145,18630,2,2,2,2,3,3,3,2,0,0,2,2
1,132,18485,5,2726,132,18485,2,2,2,2,3,3,3,2,1,0,2,1
1,173,18353,12,2721,173,18353,2,2,2,2,3,3,3,3,1,0,2,2
1,182,18180,18,2709,182,18180,2,2,2,2,3,3,3,3,1,0,2,2
1,166,17998,11,2691,166,17998,2,2,2,2,3,3,3,3,1,0,2,2
1,177,17832,12,2680,177,17832,2,2,2,2,3,3,3,3,1,0,2,1
1,174,17655,16,2668,174,17655,2,2,2,2,3,3,3,3,1,0,2,1
1,127,17481,12,2652,127,17481,2,2,2,2,3,3,3,3,1,0,2,2
1,105,17354,16,2640,105,17354,2,2,2,2,3,3,3,3,1,0,2,1
1,153,17249,8,2624,153,17249,2,2,2,2,3,3,3,3,1,0,1,1
