Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
1,2174,123443,44,4027,2109,123535,46,40,2,46,40,2,46,2,2,46,40,0,46,10,2,46,10,2,46,2,2,0,2,46,40,0,2,2,0.9070884478337854
1,2032,121269,46,3983,2579,121426,45,40,2,45,40,2,45,2,2,45,40,0,45,10,2,45,10,2,45,2,2,0,2,45,40,0,1,2,0.9070884478337854
1,1899,119237,43,3937,1409,118847,45,40,2,45,40,2,45,2,2,45,40,0,45,10,2,45,10,2,45,2,2,0,2,45,40,0,1,2,0.8338820161384946
1,1756,117338,45,3894,1709,117438,45,40,2,45,40,2,45,2,2,45,40,0,45,9,2,45,9,2,45,2,2,0,2,45,40,0,2,2,0.8338820161384946
1,2008,115582,39,3849,2148,115729,45,40,2,45,40,2,45,2,2,45,40,0,45,9,2,45,9,2,45,2,2,0,2,45,40,0,1,2,0.8780393070710542
1,2323,113574,43,3810,2169,113581,45,40,2,45,40,2,45,2,2,45,40,0,45,9,2,45,9,2,45,2,2,0,2,45,40,0,1,2,1.0334851509628697
1,2492,111251,29,3767,2650,111412,45,39,1,45,39,1,45,1,1,45,39,0,45,9,1,45,9,1,45,1,1,0,1,45,39,0,2,2,1.1344443014715995
1,2767,108759,35,3738,2658,108762,44,39,1,44,39,1,44,1,1,44,39,0,44,9,1,44,9,1,44,1,1,0,1,44,39,0,2,2,1.2076645465943523
1,2556,105992,50,3703,2993,106104,44,39,1,44,39,1,44,1,1,44,39,0,44,9,1,44,9,1,44,1,1,0,1,44,39,0,2,2,1.2076645465943523
1,2253,103436,44,3653,2016,103111,44,39,1,44,39,1,44,1,1,44,39,0,44,8,1,44,8,1,44,1,1,0,1,44,39,0,1,2,1.0717757052653032
1,2020,101183,32,3609,1751,101095,44,39,1,44,39,1,44,1,1,44,39,0,44,8,1,44,8,1,44,1,1,0,1,44,39,0,1,2,1.009978033636207
1,2080,99163,33,3577,2293,99344,44,39,1,44,39,1,44,1,1,44,39,0,44,8,1,44,8,1,44,1,1,0,1,44,39,0,1,2,1.009978033636207
1,2212,97083,31,3544,2197,97051,44,38,0,44,38,0,44,0,0,44,38,0,44,8,0,44,8,0,44,0,0,3,0,44,38,0,1,2,1.0964061144556898
1,2235,94871,36,3513,2146,94854,43,38,0,43,38,0,43,0,0,43,38,0,43,8,0,43,8,0,43,0,0,3,0,43,38,0,1,2,1.133685541626289
1,2583,92636,24,3477,2360,92708,43,38,0,43,38,0,43,0,0,43,38,0,43,8,0,43,8,0,43,0,0,3,0,43,38,0,1,1,1.1953392305091075
1,2282,90053,36,3453,3245,90348,43,38,0,43,38,0,43,0,0,43,38,0,43,7,0,43,7,0,43,0,0,3,0,43,38,0,2,1,1.1953392305091075
1,1996,87771,31,3417,1230,87103,43,38,0,43,38,0,43,0,0,43,38,0,43,7,0,43,7,0,43,0,0,3,0,43,38,0,2,2,1.0470063972648287
1,1601,85775,30,3386,1502,85862,43,38,0,43,38,0,43,0,0,43,38,0,43,7,0,43,7,0,43,0,0,3,0,43,38,0,2,2,1.0062614231335043
1,1889,84174,28,3356,2060,84360,43,37,0,43,37,0,43,0,0,43,37,0,43,7,0,43,7,0,43,0,0,2,0,43,37,0,2,2,1.0062614231335043
1,2102,82285,20,3328,2104,82300,42,37,0,42,37,0,42,0,0,42,37,0,42,7,0,42,7,0,42,0,0,2,0,42,37,0,2,2,1.1431466414094713
1,2098,80183,28,3308,2142,80196,42,37,0,42,37,0,42,0,0,42,37,0,42,7,0,42,7,0,42,0,0,2,0,42,37,0,1,2,1.1642999841081618
1,2181,78085,24,3280,2048,78054,42,37,0,42,37,0,42,0,0,42,37,0,42,6,0,42,6,0,42,0,0,2,0,42,37,0,1,2,1.1642999841081618
1,1959,75904,21,3256,2353,76006,42,37,0,42,37,0,42,0,0,42,37,0,42,6,0,42,6,0,42,0,0,2,0,42,37,0,1,2,1.1192250111979687
1,1763,73945,22,3235,1476,73653,42,37,0,42,37,0,42,0,0,42,37,0,42,6,0,42,6,0,42,0,0,2,0,42,37,0,1,2,1.0181819320693317
1,1593,72182,22,3213,1460,72177,42,36,0,42,36,0,42,0,0,42,36,0,42,6,0,42,6,0,42,0,0,1,0,42,36,0,1,2,1.0181819320693317
1,1808,70589,22,3191,1842,70717,41,36,0,41,36,0,41,0,0,41,36,0,41,6,0,41,6,0,41,6,0,1,0,41,36,0,1,2,1.099385126002257
1,2029,68781,23,3169,2124,68875,41,36,0,41,36,0,41,0,0,41,36,0,41,6,0,41,6,0,41,6,0,1,0,41,36,0,1,2,1.2888564344855116
1,2122,66752,12,3146,2119,66751,41,36,0,41,36,0,41,0,0,41,36,0,41,5,0,41,5,0,41,5,0,1,0,41,36,0,2,2,1.408213029971523
1,2208,64630,17,3134,2124,64632,41,36,0,41,36,0,41,0,0,41,36,0,41,5,0,41,5,0,41,5,0,1,0,41,36,0,2,2,1.408213029971523
1,1862,62422,9,3117,2381,62508,41,36,0,41,36,0,41,0,0,41,36,0,41,5,0,41,5,0,41,5,0,1,0,41,36,0,2,2,1.2955736978722865
1,1557,60560,6,3108,1082,60127,41,35,0,41,35,0,41,0,0,41,35,0,41,5,0,41,5,0,41,5,0,0,0,41,35,0,1,2,1.083092854011197
1,1193,59003,17,3102,1206,59045,40,35,0,40,35,0,40,0,0,40,35,0,40,5,0,40,5,0,40,5,0,0,0,40,35,0,1,2,0.9164254160830398
1,1309,57810,9,3085,1292,57839,40,35,0,40,35,0,40,0,0,40,35,0,40,5,0,40,5,0,40,5,0,0,0,40,35,0,1,2,0.9164254160830398
1,1506,56501,14,3076,1430,56547,40,35,0,40,35,0,40,0,0,40,35,0,40,4,0,40,4,0,40,4,0,0,0,40,35,0,1,2,1.077101889361564
1,1600,54995,10,3062,1795,55117,40,35,0,40,35,0,40,0,0,40,35,0,40,4,0,40,4,0,40,4,0,0,0,40,35,0,1,2,1.1752984987506494
1,1712,53395,10,3052,1575,53322,40,35,0,40,35,0,40,0,0,40,35,0,40,4,0,40,4,0,40,4,0,0,0,40,35,0,1,2,1.1752984987506494
1,1483,51683,6,3042,1767,51747,40,34,0,40,34,0,40,0,0,40,34,0,40,4,0,40,4,0,40,4,0,0,0,40,34,0,1,2,1.1482850048892774
1,1333,50200,7,3036,1105,49980,39,34,0,39,34,0,39,0,0,39,34,0,39,4,0,39,4,0,39,4,0,0,0,39,34,0,1,1,1.0652978996055282
1,1223,48867,3,3029,1127,48875,39,34,0,39,34,0,39,0,0,39,34,0,39,4,0,39,4,0,39,4,0,0,0,39,34,0,1,2,1.0652978996055282
1,1501,47644,6,3026,1439,47748,39,34,0,39,34,0,39,0,0,39,34,0,39,3,0,39,3,0,39,3,0,0,0,39,34,0,1,2,1.3635632392002008
1,1691,46143,2,3020,1935,46309,39,34,0,39,34,0,39,0,0,39,34,0,39,3,0,39,3,0,39,3,0,0,0,39,34,0,2,2,1.699965509425193
1,1713,44452,5,3018,1701,44374,39,34,0,39,34,0,39,0,0,39,34,0,39,3,0,39,3,0,39,3,0,0,0,39,34,0,2,1,1.9305598817138903
1,1591,42739,2,3013,1502,42673,39,33,0,39,33,0,39,0,0,39,33,0,39,3,0,39,3,0,39,3,0,0,0,39,33,0,2,2,2.0216824884842866
1,1409,41148,3,3011,1569,41171,38,33,0,38,33,0,38,0,0,38,33,0,38,3,0,38,3,0,38,3,0,0,0,38,33,0,2,2,2.0269596751800334
