Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity
2,210,18320,30,3354,210,18332,14,6,0,14,6,0,14,6,0,14,6,6,14,6,6,14,6,6,14,6,6,10,9,14,6,6,2,1
2,217,18119,33,3324,217,18122,14,6,0,14,6,0,14,6,0,14,6,6,14,6,6,14,6,6,14,6,6,10,9,14,6,6,1,1
2,330,17867,35,3291,330,17905,13,6,0,13,6,0,13,6,0,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,1,1
2,315,17580,35,3256,315,17575,13,6,0,13,6,0,13,6,0,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,1,1
2,391,17234,25,3221,391,17260,13,6,0,13,6,0,13,6,0,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,1,1
2,209,16929,34,3196,209,16869,13,6,0,13,6,0,13,6,0,13,6,6,13,6,6,13,6,6,13,6,6,9,9,13,6,6,1,1
2,202,16662,40,3162,202,16660,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,9,8,13,6,6,2,1
2,229,16449,36,3122,229,16458,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,13,6,6,9,8,13,6,6,2,1
2,396,16173,49,3086,396,16229,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,2,1
2,388,15835,51,3037,388,15833,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,1,1
2,330,15464,48,2986,330,15445,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,1,1
2,392,15094,36,2938,392,15115,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,8,12,6,6,2,1
2,317,14748,54,2902,317,14723,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,7,12,6,6,2,2
2,301,14411,38,2848,301,14406,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,12,6,6,8,7,12,6,6,2,1
2,493,14041,72,2810,493,14105,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,2,1
2,425,13634,67,2738,425,13612,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,2,1
2,474,13170,46,2671,474,13187,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,1,2
2,463,12716,67,2625,463,12713,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,11,6,6,7,7,11,6,6,1,2
2,511,12234,58,2558,511,12250,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,7,6,11,3,3,2,1
2,358,11790,64,2500,358,11739,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,7,6,11,3,3,2,1
2,377,11374,59,2436,377,11381,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,1,1
2,422,10989,85,2377,422,11004,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,1,1
2,476,10564,60,2292,476,10582,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,2,1
2,522,10090,76,2232,522,10106,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,6,10,3,3,2,1
2,406,9622,79,2156,406,9584,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,5,10,3,3,2,1
2,362,9192,72,2077,362,9178,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,10,3,3,6,5,10,3,3,2,1
2,317,8831,75,2005,317,8816,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,1,1
2,329,8495,76,1930,329,8499,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,1,2
2,365,8158,87,1854,365,8170,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,1,1
2,337,7814,84,1767,337,7805,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,5,9,3,3,1,1
2,295,7482,86,1683,295,7468,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,4,9,3,3,1,1
2,289,7175,73,1597,289,7173,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,9,3,3,5,4,9,3,3,1,1
2,292,6883,82,1524,292,6884,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,1,1
2,260,6602,101,1442,260,6592,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,2,1
2,271,6328,103,1341,271,6332,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,2,1
2,323,6043,71,1238,323,6061,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,8,3,3,4,4,8,3,3,2,1
2,326,5737,96,1167,326,5738,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,4,3,8,0,0,2,1
